Issue,Category,Description,Impact,Issue ID,Notes & Decisions,Owner,Priority,Recommended Resolution,Related ADRs,Related Documents,Related Phases,Root Cause,Severity,Status,Target Resolution Date
Consent model is over-specified but under-implemented,"Architecture, Privacy","T0–T4 consent is described extensively, but the gap analysis says consent tiers and ecosystem entities are Notion-only design concepts not present in the repo.","Dangerous privacy claims may be made before the system can enforce them; retrofitting consent into media, profiles, recommendations, analytics, and brand sharing later will be painful; users may believe they control data when enforcement is incomplete.",ISS-04,"User: consent comes under post-MVP for now. Alternative: remove all brand-sharing claims until consent infrastructure is implemented and tested. — RESOLVED 2026-05-31: tiered consent (T0–T4) moved to post-MVP in the scope doc; scope notes added to HLD, White Paper, and Concept Paper. MVP now captures only basic capture consent.",,P0,Implement consent as a hard dependency before profile persistence or brand-facing features.,ADR Pack (consent/privacy),"HLD, Gap Analysis, Product Scope & Release Boundaries",Post-MVP (consent enforcement),"Privacy architecture exists as narrative before an enforceable data model, policy checks, revocation semantics, and audit trails.",Critical,Resolved,"May 31, 2026"
Current state is not auditable,Logic & Consistency,Phase 5 is simultaneously “planned” and “added.” Phase 3 is both a current blocker and apparently bypassed.,Demo claims become fragile; readiness cannot be defended under scrutiny. Teams may build Phase 7–9 on unstable Phase 3–5 foundations; users hit broken consultation/analysis flows.,ISS-02,"Approach (NOT yet approved): replace phase numbering with release milestones Demo Alpha, Pilot MVP, Production Beta. Needs sign-off before changing the Implementation Plan phase structure. — RESOLVED 2026-05-31: added explicit status taxonomy (Implemented / Implemented-unverified / Demo-only / Planned / Rejected) to the Roadmap and normalized the feature maturity table. Milestone rename remains parked pending sign-off.",,P0,"Re-baseline phases into: Implemented, Implemented but unverified, Demo-only, Planned, Rejected.",—,"Roadmap, Gap Analysis, Implementation Plan","Phase 3, Phase 5",Roadmap is not updated transactionally with implementation.,Critical,Resolved,"May 31, 2026"
"“Zero trust” is branding, not an implemented security model","Architecture, Security","HLD claims zero-trust access (per-request auth, least privilege, mutual service authentication, default deny, logged access decisions), but the actual repo is a Laravel backend plus MySQL/Redis/S3/provider APIs — not a verified service mesh or mTLS design.","Overclaiming security posture invites scrutiny; engineers lack concrete policies, middleware, token scopes, and audit contracts; private facial/media data may be exposed through authorization gaps.",ISS-05,Approach: call it “backend-mediated authorization” until actual zero-trust controls exist. (Source-doc wording fix deferred per 'record only' decision.) — RESOLVED 2026-05-31: HLD section renamed to ‘Backend-mediated authorization’; zero-trust branding replaced and reframed as target controls.,,P0,"Replace vague zero-trust language with explicit controls: route middleware, policies, object-level authorization, signed-URL TTL, audit events, and test cases.",ADR Pack (security/auth),"HLD, Reference Architecture",Phase 3+ (auth & policies),Security principles are stated at enterprise level without matching implementation details.,High,Resolved,"May 31, 2026"
Source-of-truth collapse,Documentation & Governance,"Docs, roadmap, gap analysis, and repo docs disagree on product name, repo path, phase status, built/planned state, and architecture style.","Stakeholders overestimate readiness; engineers build on stale assumptions; customers may be promised unstable/demo-grade flows. Architecture decisions become performative, not executable.",ISS-01,Approach: freeze Notion as strategy docs and GitHub as implementation truth. This register + Status Matrix is the first step toward the canonical matrix. — RESOLVED 2026-05-31: canonical Status Matrix + Risk Register created; Documentation Hub now names them as the single source of truth for status.,,P0,"Create one canonical status matrix (feature, doc owner, implementation owner, repo commit, test evidence, deployment status).",—,"Documentation Hub, Roadmap, Gap Analysis, Product Scope & Release Boundaries",All,"No enforced canonical source of truth; docs are copied, mirrored, and reinterpreted across Notion and GitHub.",Critical,Resolved,"May 31, 2026"
MVP boundary is contaminated by ecosystem ambition,Product,"MVP holds seller consultation, AI analysis, profiles, deterministic recommendations, quota, consent, reopen links, and demo fallback — but docs also add brand ecosystem, manufacturer feedback, custom ML, cross-shop loyalty, VTO, self-scan, and insights.",Scope explosion before market validation; premature data-model and consent complexity; core seller/customer experience may stay clunky while low-probability future features consume attention.,ISS-03,"Approach: build two MVPs separately — retail consultation MVP now, brand-insights platform post-MVP. Partially addressed by the Product Scope & Release Boundaries doc.",,P0,Cut MVP to one flow.,ADR 0011 (Modular Monolith),"Product Scope & Release Boundaries, http://mvp-boundary.md, Technical Proposal, White Paper",MVP vs Post-MVP (Phase 10–11),Product vision is not separated from buildable MVP.,Critical,Open,
Raw facial media risk is underestimated,"Operations, Privacy","Docs correctly prohibit raw images in MySQL and public buckets, but the system still depends on private media storage, signed URLs, provider transfer, retention, discard, and future model training.","A single bucket-policy error or signed-URL leak can destroy trust; requires retention jobs, access logs, deletion verification, provider deletion policy, and object lifecycle management. Customers may reject facial capture entirely.",ISS-06,"Alternative: allow photo capture only after consent and deletion controls are proven; post-MVP, offer a no-photo deterministic consultation path.",,P0,Build a media threat model and deletion audit before expanding AI workflows.,ADR Pack (storage/media),"HLD, Gap Analysis, deployment README",Phase 5 (media + analysis),"Media lifecycle is treated as a storage feature, not a privacy-critical compliance subsystem.",Critical,Open,
Deterministic recommendation engine may be too weak to justify the product,"ML & Strategy, Product","Docs rely heavily on deterministic scoring for explainability and safety, but deterministic tag matching can become shallow, generic, or wrong if product mappings are incomplete.","If recommendations feel obvious or wrong, the product has no defensible value; requires mapping completeness, taxonomy governance, scoring validation, and feedback loops. Users may see “recommended” products that are just tagged products with marketing copy.",ISS-07,Recommendation quality is a core MVP success metric (see Product Scope & Release Boundaries).,,P0,Define recommendation quality metrics and test sets before adding more features.,ADR Pack (recommendation engine),"Technical Proposal, HLD, White Paper",Phase 5–6 (recommendations),"The system assumes structured product metadata will be accurate, complete, and maintainable.",High,Open,
Product mapping workload is hand-waved,"Data, Operations","Docs say products need concern tags, skin-type tags, tone/undertone tags, ingredient tags, avoid tags, explanation templates, and mappings — but there is no serious operating model for who maintains this at scale.","Scaling beyond 10–40 demo products becomes expensive and error-prone; needs admin/vendor workflows, validation rules, versioning, review, import/export, and conflict resolution. Bad mappings produce bad advice.",ISS-08,Ties to ISS-07: mapping completeness directly gates recommendation quality.,,P0,"Add a mapping completeness score, a mapping QA workflow, and a blocked-recommendation state for unmapped products.",ADR Pack (catalog mapping),"Technical Proposal, Implementation Plan",Phase 5 (catalog mapping),Data curation is treated as a one-time seed task.,High,Open,
Perfect Corp dependency is strategically risky,"Architecture, External Dependency",The system positions Perfect Corp / YouCam as the cold-start analysis provider while also planning eventual custom-model replacement.,"Unit economics may fail if provider calls are expensive; requires async tasks, retries, polling, provider normalization, quota accounting, demo fallback, and failure dashboards. Analysis delays/failures break the consultation experience.",ISS-09,Alternative: launch with seller-entered profile attributes (exact definition TBD — user flagged this needs clarification). — RESOLVED 2026-05-31: documented provider analysis as an optional enhancement (not core value) in the Technical Proposal principles and White Paper. Seller-entered-attributes alternative still needs definition.,,P0,"Treat provider integration as an optional enhancement, not the core value proposition.",ADR Pack (provider integration),"Roadmap, Gap Analysis, Technical Proposal","Phase 5 (Perfect Corp P0, demo-first)","Provider dependency is accepted before pricing, quotas, latency, accuracy, licensing, data retention, and fallback behavior are fully operationalized.",High,Resolved,"May 31, 2026"
Multi-tenancy is under-specified,"Architecture, Security","Docs mention shop-specific domains, tenant isolation, server-side tenant resolution, and rejection of unknown tenants — but implementation details are not shown in the route inventory or architecture docs.","One tenant data leak can kill the product; requires tenant-scoped queries, policies, object keys, signed URLs, cache keys, queue jobs, logs, and admin overrides. Shops/customers need confidence data does not cross shops.",ISS-12,Cross-shop profile portability is explicitly deferred until single-tenant isolation is proven.,,P0,Create mandatory tenant-context middleware and automated tests proving isolation; avoid cross-shop profile portability until single-tenant isolation is proven.,ADR Pack (tenancy/isolation),"HLD, Reference Architecture",Phase 3+ (tenant context),"Multi-tenancy is declared as a principle, not designed as a data-access invariant.",Critical,Open,
