Issue,Issue ID,Category,Severity,Priority,Status,Owner,Description,Impact,Notes & Decisions,Recommended Resolution,Related ADRs,Related Documents,Related Phases,Root Cause,Target Resolution Date
Observability for privacy and AI failures is missing,ISS-24,"Operations, Security",Critical,P0,Open,,"The system needs to know when media access is denied, signed URLs are issued, provider calls fail, quota is exceeded, recommendations are generated, and consent changes. Docs mention audit logging but not operational dashboards or alerts.","Incidents are discovered by users, not operators; missing structured logs, metrics, traces, alert thresholds, and audit review. Support cannot explain failures.","For demo-only, log every sensitive event to a protected admin table and review manually. Overlaps with ISS-13.","Add minimum observability: task failure rate, provider latency, signed-URL issuance, media deletion failures, consent changes, cross-tenant denial events.",ADR Pack (audit/observability),"HLD, Reference Architecture",Phase 8–9 (observability),"Audit is described as a module, not an operational capability.",
Testing strategy is not credible,ISS-14,Engineering Quality,Critical,P0,Open,,"Docs say run php artisan test, build frontends, and smoke-test routes. That is not enough for a system handling private media, AI tasks, consent, and recommendations.","False confidence before demo/pilot; missing tests for auth, tenant isolation, signed-URL expiry, bucket privacy, recommendation correctness, consent revocation, provider failure, queue retry, deletion. Bugs show up during real consultations.",Minimum test set should gate the move from Demo-only to Pilot MVP (links to ISS-02 re-baseline).,Define the minimum required automated tests before any real pilot.,—,"Implementation Plan, deployment README",All phases (test gates),Test plan is mostly build/smoke validation.,
Multi-tenancy is under-specified,ISS-12,"Architecture, Security",Critical,P0,Open,,"Docs mention shop-specific domains, tenant isolation, server-side tenant resolution, and rejection of unknown tenants — but implementation details are not shown in the route inventory or architecture docs.","One tenant data leak can kill the product; requires tenant-scoped queries, policies, object keys, signed URLs, cache keys, queue jobs, logs, and admin overrides. Shops/customers need confidence data does not cross shops.",Cross-shop profile portability is explicitly deferred until single-tenant isolation is proven.,Create mandatory tenant-context middleware and automated tests proving isolation; avoid cross-shop profile portability until single-tenant isolation is proven.,ADR Pack (tenancy/isolation),"HLD, Reference Architecture",Phase 3+ (tenant context),"Multi-tenancy is declared as a principle, not designed as a data-access invariant.",
Raw facial media risk is underestimated,ISS-06,"Operations, Privacy",Critical,P0,Open,,"Docs correctly prohibit raw images in MySQL and public buckets, but the system still depends on private media storage, signed URLs, provider transfer, retention, discard, and future model training.","A single bucket-policy error or signed-URL leak can destroy trust; requires retention jobs, access logs, deletion verification, provider deletion policy, and object lifecycle management. Customers may reject facial capture entirely.","Alternative: allow photo capture only after consent and deletion controls are proven; post-MVP, offer a no-photo deterministic consultation path.",Build a media threat model and deletion audit before expanding AI workflows.,ADR Pack (storage/media),"HLD, Gap Analysis, deployment README",Phase 5 (media + analysis),"Media lifecycle is treated as a storage feature, not a privacy-critical compliance subsystem.",
MVP boundary is contaminated by ecosystem ambition,ISS-03,Product,Critical,P0,Open,,"MVP holds seller consultation, AI analysis, profiles, deterministic recommendations, quota, consent, reopen links, and demo fallback — but docs also add brand ecosystem, manufacturer feedback, custom ML, cross-shop loyalty, VTO, self-scan, and insights.",Scope explosion before market validation; premature data-model and consent complexity; core seller/customer experience may stay clunky while low-probability future features consume attention.,"Approach: build two MVPs separately — retail consultation MVP now, brand-insights platform post-MVP. Partially addressed by the Product Scope & Release Boundaries doc.",Cut MVP to one flow.,ADR 0011 (Modular Monolith),"Product Scope & Release Boundaries, http://mvp-boundary.md, Technical Proposal, White Paper",MVP vs Post-MVP (Phase 10–11),Product vision is not separated from buildable MVP.,
Source-of-truth collapse,ISS-01,Documentation & Governance,Critical,P0,Resolved,,"Docs, roadmap, gap analysis, and repo docs disagree on product name, repo path, phase status, built/planned state, and architecture style.","Stakeholders overestimate readiness; engineers build on stale assumptions; customers may be promised unstable/demo-grade flows. Architecture decisions become performative, not executable.",Approach: freeze Notion as strategy docs and GitHub as implementation truth. This register + Status Matrix is the first step toward the canonical matrix. — RESOLVED 2026-05-31: canonical Status Matrix + Risk Register created; Documentation Hub now names them as the single source of truth for status.,"Create one canonical status matrix (feature, doc owner, implementation owner, repo commit, test evidence, deployment status).",—,"Documentation Hub, Roadmap, Gap Analysis, Product Scope & Release Boundaries",All,"No enforced canonical source of truth; docs are copied, mirrored, and reinterpreted across Notion and GitHub.","May 31, 2026"
Current state is not auditable,ISS-02,Logic & Consistency,Critical,P0,Resolved,,Phase 5 is simultaneously “planned” and “added.” Phase 3 is both a current blocker and apparently bypassed.,Demo claims become fragile; readiness cannot be defended under scrutiny. Teams may build Phase 7–9 on unstable Phase 3–5 foundations; users hit broken consultation/analysis flows.,"Approach (NOT yet approved): replace phase numbering with release milestones Demo Alpha, Pilot MVP, Production Beta. Needs sign-off before changing the Implementation Plan phase structure. — RESOLVED 2026-05-31: added explicit status taxonomy (Implemented / Implemented-unverified / Demo-only / Planned / Rejected) to the Roadmap and normalized the feature maturity table. Milestone rename remains parked pending sign-off.","Re-baseline phases into: Implemented, Implemented but unverified, Demo-only, Planned, Rejected.",—,"Roadmap, Gap Analysis, Implementation Plan","Phase 3, Phase 5",Roadmap is not updated transactionally with implementation.,"May 31, 2026"
Consent model is over-specified but under-implemented,ISS-04,"Architecture, Privacy",Critical,P0,Resolved,,"T0–T4 consent is described extensively, but the gap analysis says consent tiers and ecosystem entities are Notion-only design concepts not present in the repo.","Dangerous privacy claims may be made before the system can enforce them; retrofitting consent into media, profiles, recommendations, analytics, and brand sharing later will be painful; users may believe they control data when enforcement is incomplete.","User: consent comes under post-MVP for now. Alternative: remove all brand-sharing claims until consent infrastructure is implemented and tested. — RESOLVED 2026-05-31: tiered consent (T0–T4) moved to post-MVP in the scope doc; scope notes added to HLD, White Paper, and Concept Paper. MVP now captures only basic capture consent.",Implement consent as a hard dependency before profile persistence or brand-facing features.,ADR Pack (consent/privacy),"HLD, Gap Analysis, Product Scope & Release Boundaries",Post-MVP (consent enforcement),"Privacy architecture exists as narrative before an enforceable data model, policy checks, revocation semantics, and audit trails.","May 31, 2026"
Business assumptions are unvalidated,ISS-25,"Business, Product",High,P0,Open,,"The docs assume SME retailers need AI consultation, sellers will adopt it, customers will consent, brands want insights, and saved profiles drive repeat visits.","Build may solve a problem buyers do not prioritize; engineering invests before validating willingness to use/pay. Customers may reject photo capture, profile storage, or brand data sharing.",Additional approach: concierge MVP with a paper/profile form and manually generated recommendations. Reinforces the MVP-success definition in the scope doc.,Run 5–10 manual seller consultations before building more architecture.,—,"White Paper, Product Scope & Release Boundaries",Pre-MVP validation,"Product strategy is built from plausible narrative, not demonstrated demand.",
“No medical claims” rule is necessary but insufficient,ISS-22,"Legal, Product",High,P0,Resolved,,"Docs correctly prohibit diagnosis, cures, clinical treatment claims, and medical framing — but recommendations still involve skin type, concerns, adverse reactions, ingredients, sensitivities, and patch-test language.","Regulatory and liability exposure; requires copy governance, blocked terms, review workflow, and product-claim constraints. Users may misinterpret recommendations as dermatological advice.",Use only neutral language in templates and outputs. — RESOLVED 2026-05-31: created canonical Retail-Safe Language Policy page with approved/blocked terms and the required disclaimer.,"Create a retail-safe language policy enforced in templates and recommendation output (e.g. “may suit,” “seller review recommended,” “not medical advice”).",—,"White Paper, Documentation Hub",Phase 6+ (copy governance),Cosmetic guidance can easily drift into quasi-medical advice.,"May 31, 2026"
Admin/vendor/customer role boundaries are risky,ISS-21,"Product, Security",High,P0,Open,,"The system has customer, seller, vendor, admin, and future brand roles. The backend route inventory describes public, customer, vendor, and super-admin route classes but not the beauty-specific permission model in detail.","Incorrect access could expose private profiles or media; needs resource-level policies, not just role-level route grouping. Customers lose trust if sellers/admins can see too much.","Resource-level (object) authorization required, not just route-group roles. Links to ISS-05 and ISS-12.","Define beauty-specific permissions: view session, edit mapping, start analysis, view media, save profile, revoke consent, access insights.",ADR Pack (authz/roles),"Technical Proposal, backend route inventory",Phase 3+ (policies),Existing commerce roles are being stretched to handle sensitive beauty workflows.,
Legacy demo positioning conflicts with production architecture,ISS-19,"Documentation & Governance, Product",High,P0,Resolved,,"Repo README and older public notes previously framed this as a short-term demo effort using Perfect Corp APIs and seeded artifacts, while architecture docs frame it as a scalable, privacy-aware, multi-tenant commercial platform.","Either the demo is overburdened by architecture or production is polluted by demo shortcuts; demo fallback, seeded data, provider mocks, and production flows may blur. Users may see staged behavior as real capability.","User decision: the project is being carried forward as a startup/pilot codebase, not a short-term event deliverable. Repo-side framing should match that position. — RESOLVED 2026-05-31: current docs and README were reframed to startup/pilot language.",Separate demo artifacts from production architecture; keep repo and docs framed around the product codebase.,—,"HLD, White Paper, Documentation Hub, repo README",All,Demo speed and production rigor are not separated.,"May 31, 2026"
UX friction is underestimated,ISS-17,"Customer Experience, Product",High,P0,Open,,"Seller-assisted capture requires consent, photo quality, upload, AI analysis, seller review, correction, recommendation, save/discard, and profile reopen — a multi-step in-store flow.","Sellers may abandon the tool during busy retail moments; requires very fast UI, offline fallback, partial save, retry, and clear failure states. Customers may distrust photo capture.",Alternative: start with a no-photo seller questionnaire and product recommendation.,Time-box the consultation flow to under 2 minutes and test with real users.,—,"White Paper, Technical Proposal",Phase 6–7 (consultation UX),The docs assume customers and sellers will tolerate a multi-step flow in-store.,
Queue/async architecture is underdeveloped,ISS-15,"Architecture, Reliability",High,P0,Open,,"Provider calls, analysis polling, quota reconciliation, media deletion, and recommendation regeneration are inherently async, but docs do not adequately define queue-worker deployment, retry policies, dead-letter handling, idempotency, or task state machine.","Failed tasks block consultations; duplicate jobs, stuck jobs, inconsistent snapshots, double quota charges, orphaned media. Users see indefinite “processing” states.","Approach: keep analysis synchronous only for demo, clearly labeled non-production.","Design the task lifecycle explicitly: pending, uploaded, queued, processing, provider_failed, fallback_used, completed, expired, discarded.",ADR Pack (async/queues),"Reference Architecture, Implementation Plan",Phase 5 (analysis tasks),Async workflow is described at the happy-path sequence level.,
